Item Name,Category,Description,Price,Veg Classifier,Portion Size,Rating,Addons
Crispy Chicken Double Patty Burger,Burgers & Wraps,"Our Best-Selling Burger With Crispy Chicken Double Patty, Onion And Classic Mayo Sauce",139.0,NONVEG,N/A,4.4,Double Cheese Slice (50.0); Single Cheese Slice (25.0); King Fries + Medium Pepsi (23% off) (159.0); Medium Fries + Medium Pepsi Black (23% OFF) (149.0); Medium Fries + Medium Fountain Pepsi(23% Off) (149.0); Medium Fries + Chocolate Thick Shake (34% off) (195.0); Med Fries + Med Pepsi + Choco Lava (25% Off) (219.0); Regular Fries + Medium Soft Drink (Cola) (28% OFF) (119.0); King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
Hot 'N' Saucy Burger,Kings Premium Burgers,"Chilli Saucy patty, spicy sauce, soft square masala buns. It's saucy & spicy.",199.0,VEG,N/A,4.3,Double Cheese Slice (50.0); Single Cheese Slice (25.0); King Fries + Medium Pepsi (23% off) (159.0); Medium Fries + Medium Pepsi Black (23% OFF) (149.0); Medium Fries + Medium Fountain Pepsi(23% Off) (149.0); Medium Fries + Chocolate Thick Shake (34% off) (195.0); Med Fries + Med Pepsi + Choco Lava (25% Off) (219.0); Regular Fries + Medium Soft Drink (Cola) (28% OFF) (119.0); King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0)
Fiery Chicken Burger,Kings Premium Burgers,"Spicy Fried Chicken, loads of sauces in soft square masala buns. It's hot and happening.",199.0,NONVEG,N/A,4.2,Double Cheese Slice (50.0); Single Cheese Slice (25.0); King Fries + Medium Pepsi (23% off) (159.0); Medium Fries + Medium Pepsi Black (23% OFF) (149.0); Medium Fries + Medium Fountain Pepsi(23% Off) (149.0); Medium Fries + Chocolate Thick Shake (34% off) (195.0); Med Fries + Med Pepsi + Choco Lava (25% Off) (219.0); Regular Fries + Medium Soft Drink (Cola) (28% OFF) (119.0); King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0)
Crispy Veg Double Patty + Crispy Veg Double Patty,Burger Doubles.,Two Crispy Veg Double Patty,198.0,VEG,N/A,4.2,King Fries + Medium Pepsi (23% off) (159.0); Medium Fries + Medium Pepsi Black (23% OFF) (149.0); Medium Fries + Medium Fountain Pepsi(23% Off) (149.0); Medium Fries + Chocolate Thick Shake (34% off) (195.0); Med Fries + Med Pepsi + Choco Lava (25% Off) (219.0); Regular Fries + Medium Soft Drink (Cola) (28% OFF) (119.0); King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
Veg Makhani Burst + Whopper Jr Veg,Burger Doubles.,Veg Makhani Burst + Lite Whopper Jr Veg,229.0,VEG,N/A,3.9,King Fries + Medium Pepsi (23% off) (159.0); Medium Fries + Medium Pepsi Black (23% OFF) (149.0); Medium Fries + Medium Fountain Pepsi(23% Off) (149.0); Medium Fries + Chocolate Thick Shake (34% off) (195.0); Med Fries + Med Pepsi + Choco Lava (25% Off) (219.0); Regular Fries + Medium Soft Drink (Cola) (28% OFF) (119.0); King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
4 Crispy Veg + 2 Medium Fries,Friends & Family Combo (Save upto 20%),,400.0,VEG,N/A,3.8,
Medium Fries,Sides,The Perfect Crispy Partner,115.0,VEG,N/A,4.3,
King Fries,Sides,The Perfect Crispy Partner,130.0,VEG,N/A,4.1,Fiery Hell Dip (23.81); Peri Peri Spice Mix (28.57)
King Peri Peri Fries,Sides,Crispy Fries With Peri Peri Spice. Hot Indeed,159.0,VEG,N/A,3.9,Fiery Hell Dip (23.81)
Chocolate Thick Shake,Beverages,Our Signature Chocolate Thick Shake,189.0,VEG,N/A,4.3,
Crispy Veg Burger + Fries (Reg) + Soft Drink,Crispy Meal Deals (Save upto 47%),Save 47% | Crispy Veg Burger + Fries (Reg) + Soft Drink,129.0,VEG,N/A,N/A,
Crispy Chicken Burger + Fries (Reg) + Soft Drink,Crispy Meal Deals (Save upto 47%),Save 38% | Crispy Chicken Burger + Fries (Reg) + Soft Drink,169.0,NONVEG,N/A,N/A,
Fiery Chicken Wrap+Fries(Reg),Burger+Fries (Save upto 15%),,279.0,NONVEG,N/A,3.3,
Paneer Royale Wrap+Fries(Reg),Burger+Fries (Save upto 15%),,279.0,VEG,N/A,N/A,
Hot 'N' Saucy Burger+Fries(Reg),Burger+Fries (Save upto 15%),,269.0,VEG,N/A,N/A,
Fiery Chicken Burger+Fries(Reg),Burger+Fries (Save upto 15%),,269.0,NONVEG,N/A,N/A,
Paneer Royale Burger+Fries(Reg),Burger+Fries (Save upto 15%),,269.0,VEG,N/A,N/A,
Chicken Tandoori+Fries(Reg),Burger+Fries (Save upto 15%),,269.0,NONVEG,N/A,N/A,
Whopper Jr Chicken+Fries(Reg),Burger+Fries (Save upto 15%),,249.0,NONVEG,N/A,N/A,
BK Chicken Burger+Fries(Reg),Burger+Fries (Save upto 15%),,229.0,NONVEG,N/A,N/A,
Whopper Jr Veg+Fries(Reg),Burger+Fries (Save upto 15%),,229.0,VEG,N/A,N/A,
Veg Whopper+Fries(Reg),Burger+Fries (Save upto 15%),,249.0,VEG,N/A,5.0,
Chicken Whopper+Fries(Reg),Burger+Fries (Save upto 15%),,269.0,NONVEG,N/A,N/A,
BK Veggie Burger+Fries(Reg),Burger+Fries (Save upto 15%),,219.0,VEG,N/A,N/A,
Crispy Chicken Double Patty Burger+Fries(Reg),Burger+Fries (Save upto 15%),,209.0,NONVEG,N/A,4.3,
Crunchy Chicken Taco+Fries(Reg),Burger+Fries (Save upto 15%),,190.0,NONVEG,N/A,5.0,
Chicken Makhani Burst Burger+Fries(Reg),Burger+Fries (Save upto 15%),,180.0,NONVEG,N/A,N/A,
Crispy Veg Double Patty Burger+Fries(Reg),Burger+Fries (Save upto 15%),,179.0,VEG,N/A,N/A,
Crispy Chicken Burger+Fries(Reg),Burger+Fries (Save upto 15%),,170.0,NONVEG,N/A,N/A,
Veg Crunchy Taco+Fries(Reg),Burger+Fries (Save upto 15%),,170.0,VEG,N/A,N/A,
Veg Makhani Burst Burger+Fries(Reg),Burger+Fries (Save upto 15%),,150.0,VEG,N/A,N/A,
Crispy Veg Burger+Fries(Reg),Burger+Fries (Save upto 15%),,150.0,VEG,N/A,3.7,
Crispy Veg Burger+Fries(M),Burger+Fries (Save upto 15%),,160.0,VEG,N/A,4.4,
Veg Crunchy Taco+Fries(M),Burger+Fries (Save upto 15%),,180.0,VEG,N/A,N/A,
Crispy Chicken Burger+Fries(M),Burger+Fries (Save upto 15%),,189.0,NONVEG,N/A,4.1,
Crispy Veg Double Patty Burger+Fries(M),Burger+Fries (Save upto 15%),,189.0,VEG,N/A,3.3,
Crunchy Chicken Taco+Fries(M),Burger+Fries (Save upto 15%),,209.0,NONVEG,N/A,3.8,
BK Veggie Burger+Fries(M),Burger+Fries (Save upto 15%),,229.0,VEG,N/A,4.0,
Crispy Chicken Double Patty Burger+Fries(M),Burger+Fries (Save upto 15%),,229.0,NONVEG,N/A,3.2,
BK Chicken Burger+Fries(M),Burger+Fries (Save upto 15%),,239.0,NONVEG,N/A,N/A,
Whopper Jr Veg+Fries(M),Burger+Fries (Save upto 15%),,239.0,VEG,N/A,4.3,
Veg Whopper+Fries(M),Burger+Fries (Save upto 15%),,269.0,VEG,N/A,4.0,
Paneer Royale Wrap+Fries(M),Burger+Fries (Save upto 15%),,299.0,VEG,N/A,N/A,
Chicken Whopper+Fries(M),Burger+Fries (Save upto 15%),,289.0,NONVEG,N/A,N/A,
No Strings Attached Combo - Veg,Flavours Of Love Combos (Save Rs 122),Save Rs. 122 | 2 Masala Whopper Veg + 2 Med Fries + 2 Medium Soft Drink (Cola),736.0,VEG,N/A,N/A,
Premium Family Feast for 4 - Veg,Family Feast for 4 ( Save upto 37%),Save Rs. 200 | Veg Whopper + Paneer Royale + Crispy Veg + BK Veggie + 2 Med Fries + 1 Dip + Peri Peri Sachet + Medium Soft Drink (Cola) + Chocolate Thick Shake,953.0,VEG,N/A,N/A,
Premium Family Feast for 4 - Chicken,Family Feast for 4 ( Save upto 37%),Save Rs. 200 | Chicken Whopper + Fiery Chicken + Crispy Chicken + Chicken Crunchy Taco + 2 Med Fries + 1 Dip + Peri Peri Sachet + Medium Soft Drink (Cola) + Chocolate Thick Shake,982.0,NONVEG,N/A,N/A,
Classic Family Feast for 4 - Veg,Family Feast for 4 ( Save upto 37%),Save Rs. 200 | 2 Crispy Veg + BK Veggie + Veg Crunchy Taco + 2 Med Fries + 2 Dips + Medium Soft Drink (Cola) + Chocolate Thick Shake,731.0,VEG,N/A,3.5,
Classic Family Feast for 4 - Chicken,Family Feast for 4 ( Save upto 37%),Save Rs. 200 | 2 Crispy Chicken + BK Chicken + Chicken Crunchy Taco + 2 Med Fries + 2 Dips + Medium Soft Drink (Cola) + Chocolate Thick Shake,828.0,NONVEG,N/A,N/A,
Whopper Duo - Veg,Super Saver Combos (Save upto Rs 90),MRP 772. Save Rs 90 | 2 Veg Whopper + 1 King Fries + 1 Chocolate Shake + 1 Medium Soft Drink (Cola),682.0,VEG,N/A,N/A,
Whopper Duo - Non Veg,Super Saver Combos (Save upto Rs 90),MRP 812. Save Rs 90 | 2 Chicken Whopper + 1 King Fries  + 1 Chocolate Shake  + 1 Medium Soft Drink (Cola),722.0,NONVEG,N/A,N/A,
Paneer Royale Burger + Hot 'N' Saucy Burger + 1 Med Fries,Super Saver Combos (Save upto Rs 90),MRP 533. Save Rs 95! With this Limited Time Offer,418.0,VEG,N/A,2.3,
Hot 'N' Saucy Duo - Veg,Super Saver Combos (Save upto Rs 90),MRP 718. Save Rs 90 | 2 Hot 'N' Saucy + 1 King Fries + 2 Medium Soft Drink (Cola),628.0,VEG,N/A,N/A,
Fiery Duo - Non Veg,Super Saver Combos (Save upto Rs 90),MRP 718. Save Rs 90 | 2 FieryChicken + 1 King Fries + 2 Medium Soft Drink (Cola),628.0,NONVEG,N/A,N/A,
Binging Duo - Veg,Super Saver Combos (Save upto Rs 90),MRP 706. Save Rs 90 | 2Crispy Veg Double Patty+1King Fries+2Chocolate Shake,616.0,VEG,N/A,N/A,
Binging Duo - Non  Veg,Super Saver Combos (Save upto Rs 90),MRP 766. Save Rs 90 | 2Crispy Chicken Double Patty+1King Fries+2Chocolate Shake,696.0,NONVEG,N/A,N/A,
Indulgent Duo - Veg,Super Saver Combos (Save upto Rs 90),MRP 718. Save Rs 90 | 2 Paneer Royale + 1 King Fries + 2 Medium Soft Drink (Cola),628.0,VEG,N/A,N/A,
Indulgent Duo - Non Veg,Super Saver Combos (Save upto Rs 90),MRP 718. Save Rs 90 | 2 Chicken Tandoor Grill + 1 King Fries + 2 Medium Soft Drink (Cola),628.0,NONVEG,N/A,N/A,
2 Hot 'N' Saucy Burger + 1 Med Fries,Super Saver Combos (Save upto Rs 90),MRP 533. Save Rs 95! With this Limited Time Offer,418.0,VEG,N/A,5.0,
2 Fiery Chicken Burger + 1 Med Fries,Super Saver Combos (Save upto Rs 90),MRP 533. Save Rs 95! With this Limited Time Offer,418.0,NONVEG,N/A,4.5,
2 Paneer Royale Burger + 1 Med Fries,Super Saver Combos (Save upto Rs 90),MRP 533. Save Rs 95! With this Limited Time Offer,418.0,VEG,N/A,4.5,
2 Chicken Tandoori Burger + 1 Med Fries,Super Saver Combos (Save upto Rs 90),MRP 533. Save Rs 95! With this Limited Time Offer,418.0,NONVEG,N/A,4.2,
Mutton Whopper,Whopper,"Our signature Whopper with 7 layers between the buns. Flame-Grilled mutton patty, fresh onions, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces with new glazed buns. Swaad Aisa, India Jaisa.",319.0,NONVEG,N/A,4.5,Double Cheese Slice (50.0); Single Cheese Slice (25.0); King Fries + Medium Pepsi (23% off) (159.0); Medium Fries + Medium Pepsi Black (23% OFF) (149.0); Medium Fries + Medium Fountain Pepsi(23% Off) (149.0); Medium Fries + Chocolate Thick Shake (34% off) (195.0); Med Fries + Med Pepsi + Choco Lava (25% Off) (219.0); Regular Fries + Medium Soft Drink (Cola) (28% OFF) (119.0); King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
Veg Whopper,Whopper,"Our signature Whopper with 7 layers between the buns. Extra crunchy veg patty, fresh onions, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces with new premium buns. Swaad Aisa, India Jaisa.",179.0,VEG,N/A,4.4,Double Cheese Slice (50.0); Single Cheese Slice (25.0); King Fries + Medium Pepsi (23% off) (159.0); Medium Fries + Medium Pepsi Black (23% OFF) (149.0); Medium Fries + Medium Fountain Pepsi(23% Off) (149.0); Medium Fries + Chocolate Thick Shake (34% off) (195.0); Med Fries + Med Pepsi + Choco Lava (25% Off) (219.0); Regular Fries + Medium Soft Drink (Cola) (28% OFF) (119.0); King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
Veg Whopper with Cheese Slice,Whopper,"Our Signature Whopper With 7 Layers Between The Buns. Extra Crunchy Veg Patty With Cheese Slice, Fresh Onion, Crispy Lettuce, Juicy Tomatoes(seasonal), Tangy Gherkins, Creamy And Smoky Sauces With Xxl Buns. It?S Not A Burger, It?S A Whopper",204.0,VEG,N/A,3.8,Double Cheese Slice (50.0); Single Cheese Slice (25.0); King Fries + Medium Pepsi (23% off) (159.0); Medium Fries + Medium Pepsi Black (23% OFF) (149.0); Medium Fries + Medium Fountain Pepsi(23% Off) (149.0); Medium Fries + Chocolate Thick Shake (34% off) (195.0); Med Fries + Med Pepsi + Choco Lava (25% Off) (219.0); Regular Fries + Medium Soft Drink (Cola) (28% OFF) (119.0); King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
Chicken Whopper,Whopper,"Our signature Whopper with 7 layers between the buns. Flame-Grilled chicken patty, fresh onions, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces with new premium glazed buns. Swaad Aisa, India Jaisa.",199.0,NONVEG,N/A,4.2,Double Cheese Slice (50.0); Single Cheese Slice (25.0); King Fries + Medium Pepsi (23% off) (159.0); Medium Fries + Medium Pepsi Black (23% OFF) (149.0); Medium Fries + Medium Fountain Pepsi(23% Off) (149.0); Medium Fries + Chocolate Thick Shake (34% off) (195.0); Med Fries + Med Pepsi + Choco Lava (25% Off) (219.0); Regular Fries + Medium Soft Drink (Cola) (28% OFF) (119.0); King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
Mutton Whopper Double Patty,Whopper,"Two Much Mutton As Delicious Flame-Grilled Patties, Farm-Fresh Veggies And Mayo Is What Makes This Mutton Double Whopper A Feast For The Beast",389.0,NONVEG,N/A,3.8,Double Cheese Slice (50.0); Single Cheese Slice (25.0); King Fries + Medium Pepsi (23% off) (159.0); Medium Fries + Medium Pepsi Black (23% OFF) (149.0); Medium Fries + Medium Fountain Pepsi(23% Off) (149.0); Medium Fries + Chocolate Thick Shake (34% off) (195.0); Med Fries + Med Pepsi + Choco Lava (25% Off) (219.0); Regular Fries + Medium Soft Drink (Cola) (28% OFF) (119.0); King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
Veg Whopper Double Patty,Whopper,"Our Signature Whopper With 7 Layers Between The Buns. Extra Crunchy Veg Double Patty, Fresh Onion, Crispy Lettuce, Juicy Tomatoes(seasonal), Tangy Gherkins, Creamy And Smoky Sauces With Xxl Buns. It?S Not A Burger, It?S A Whopper",229.0,VEG,N/A,5.0,Double Cheese Slice (50.0); Single Cheese Slice (25.0); King Fries + Medium Pepsi (23% off) (159.0); Medium Fries + Medium Pepsi Black (23% OFF) (149.0); Medium Fries + Medium Fountain Pepsi(23% Off) (149.0); Medium Fries + Chocolate Thick Shake (34% off) (195.0); Med Fries + Med Pepsi + Choco Lava (25% Off) (219.0); Regular Fries + Medium Soft Drink (Cola) (28% OFF) (119.0); King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
Chicken Whopper with Cheese Slice,Whopper,"Our Signature Whopper With 7 Layers Between The Buns. Flame Grilled Chicken Patty With Cheese Slice, Fresh Onion, Crispy Lettuce, Juicy Tomatoes(seasonal), Tangy Gherkins, Creamy And Smoky Sauces With Xxl Buns. It?S Not A Burger, It?S A Whopper",224.0,NONVEG,N/A,3.0,Double Cheese Slice (50.0); Single Cheese Slice (25.0); King Fries + Medium Pepsi (23% off) (159.0); Medium Fries + Medium Pepsi Black (23% OFF) (149.0); Medium Fries + Medium Fountain Pepsi(23% Off) (149.0); Medium Fries + Chocolate Thick Shake (34% off) (195.0); Med Fries + Med Pepsi + Choco Lava (25% Off) (219.0); Regular Fries + Medium Soft Drink (Cola) (28% OFF) (119.0); King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
Chicken Whopper Double Patty,Whopper,"Our Signature Whopper With 7 Layers Between The Buns. Flame Grilled Chicken Double Patty, Fresh Onion, Crispy Lettuce, Juicy Tomatoes(seasonal), Tangy Gherkins, Creamy And Smoky Sauces With Xxl Buns. It?S Not A Burger, It?S A Whopper",259.0,NONVEG,N/A,4.2,Double Cheese Slice (50.0); Single Cheese Slice (25.0); King Fries + Medium Pepsi (23% off) (159.0); Medium Fries + Medium Pepsi Black (23% OFF) (149.0); Medium Fries + Medium Fountain Pepsi(23% Off) (149.0); Medium Fries + Chocolate Thick Shake (34% off) (195.0); Med Fries + Med Pepsi + Choco Lava (25% Off) (219.0); Regular Fries + Medium Soft Drink (Cola) (28% OFF) (119.0); King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
